firstname,male,female
category:sculptors,0,0
category:sculptures,0,0
category:scuola,0,0
category:scythians,0,0
category:sea,0,0
category:sealers,0,0
category:seamen,0,0
category:sean,0,0
category:search,0,0
category:sears,0,0
category:seat,0,0
category:seattle,0,0
category:second,0,0
category:secret,0,0
category:secretariat,0,0
category:secretaries,0,0
category:secretaries-general,0,0
category:secretary-general,0,0
category:section,0,0
category:securitate,0,0
category:security,0,0
category:secwepemc,0,0
category:seediq,0,0
category:seewoosagur,0,0
category:sega,0,0
category:seigneurs,0,0
category:sejong,0,0
category:sekani,0,0
category:sekiwake,0,0
category:selangor,0,0
category:seleucid,0,0
category:self-declared,1,0
category:self-propelled,0,0
category:seljuq,0,0
category:seljuq-period,0,0
category:selk'nam,0,0
category:selknam,0,0
category:selkup,0,0
category:semantic,0,0
category:semi-automatic,0,0
category:seminary,0,0
category:seminole,0,0
category:semitic,0,0
category:semitic-speaking,0,0
category:sena,0,0
category:senators,0,0
category:seneca,0,0
category:senegalese,0,0
category:senegalese-american,0,0
category:senior,0,0
category:senusret,0,0
category:seo,0,0
category:seoul,0,0
category:separatists,0,0
category:sephardi,0,0
category:seppuku,0,0
category:septimius,0,0
category:serb,0,0
category:serbia,0,0
category:serbian,0,0
category:serbs,0,0
category:serena,0,0
category:serer,0,0
category:serfs,0,0
category:sergei,0,0
category:sergio,0,0
category:sergipe,0,0
category:serhiy,0,0
category:serial,0,0
category:serrano,0,0
category:servants,0,0
category:service,0,0
category:set,0,0
category:seth,0,0
category:seti,0,0
category:seton,0,0
category:settecento,0,0
category:settlers,0,0
category:sevastopol,0,0
category:seven,0,0
category:seventy,0,0
category:severan,0,0
category:severus,0,0
category:sewanee,0,0
category:sewanee:,0,0
category:sex,0,0
category:sexologists,0,0
category:sextets,0,0
category:sexuality,0,0
category:seychellois,0,0
category:sgi,0,0
category:shaaban,0,0
category:shaanxi,0,0
category:shabak,0,0
category:shack,0,0
category:shaddadids,0,0
category:shah,0,0
category:shahid,0,0
category:shahristani,0,0
category:shaikh,0,0
category:shakespeare,0,0
category:shakespearean,0,0
category:shambaa,0,0
category:shamlu,0,0
category:shandong,0,0
category:shang,0,0
category:shanghai,0,0
category:shannon,0,0
category:shanxi,0,0
category:shaquille,0,0
category:sharifs,0,0
category:sharp,0,0
category:shastan,0,0
category:shatuo,0,0
category:shaw,0,0
category:shawnee,0,0
category:shaykhavand,0,0
category:sheba,0,0
category:sheep,0,0
category:sheet,0,0
category:sheikh,0,0
category:sheikhs,0,0
category:sheikhupura,0,0
category:shem,0,0
category:shenyang,0,0
category:shenzhen,0,0
category:shenzhou,0,0
category:shepherd,0,0
category:shepherds,0,0
category:sheppey,0,0
category:sherbro,0,0
category:sherbrooke,0,0
category:sheridan,0,0
category:sheriffs,0,0
category:sherman,0,0
category:sherpa,0,0
category:sherpa-language,0,0
category:sherpao,0,0
category:shetland,0,0
category:shi,0,0
category:shigeru,0,0
category:shila,0,0
category:shilha,0,0
category:shimazu,0,0
category:shimer,0,0
category:shimla,0,0
category:shin,0,0
category:shinnecock,0,0
category:shinsengumi,0,0
category:shintaro,0,0
category:shintoists,0,0
category:shinty,0,0
category:shipbuilders,0,0
category:shipping,0,0
category:ships,0,0
category:shipwreck,0,0
category:shipwrecked,0,0
category:shirazi,0,0
category:shirley,0,0
category:shironamhin,0,0
category:shivaji,0,0
category:shneur,0,0
category:shoemakers,0,0
category:shona,0,0
category:shooting,0,0
category:short,0,0
category:shorter,0,0
category:shortland,0,0
category:shoshenq,0,0
category:shoshone,0,0
category:shotting,0,0
category:showrunners,0,0
category:shreveport,0,0
category:shreya,0,0
category:shu,0,0
category:sialkot,0,0
category:siberian,0,0
category:sibling,0,0
category:sibselmash,0,0
category:sichuan,0,0
category:sicilian,0,0
category:sicilian-language,0,0
category:sicilian-speaking,0,0
category:sicilians,0,0
category:sid,0,0
category:siddhi,0,0
category:sidney,0,0
category:siemens,0,0
category:siena,0,0
category:sienese,0,0
category:sierra,0,0
category:signatories,0,0
category:signers,0,0
category:sigur,0,0
category:sikh,0,0
category:sikhs,0,0
category:sikkim,0,0
category:silchar,0,0
category:silent,0,0
category:silesian,0,0
category:silesian-german,0,0
category:silicon,0,0
category:siliguri,0,0
category:silla,0,0
category:silliman,0,0
category:siloam,0,0
category:silpa-archa,0,0
category:silverbird,0,0
category:simavdelningen,0,0
category:simcoe,0,0
category:simjurids,0,0
category:simmons,0,0
category:simon,0,0
category:simpson,0,0
category:simón,0,0
category:sind,0,0
category:sindh,0,0
category:sindhi,0,0
category:sindhi-language,0,0
category:sindhudurg,0,0
category:singapore,0,0
category:singaporean,0,0
category:singers,0,0
category:sinhalese,0,0
category:sino-indian,0,0
category:sino-tibetan,0,0
category:sino-vietnamese,0,0
category:sint,0,0
category:sinti,0,0
category:siouan,0,0
category:sioux,0,0
category:sipem,0,0
category:sirsa,0,0
category:sisinis,0,0
category:sissel,0,0
category:sit-skiers,0,0
category:siti,0,0
category:sitting,0,0
category:siu,0,0
category:siunia,0,0
category:sixteen,0,0
category:sk,0,0
category:ska-neftyanik,0,0
category:ska-sverdlovsk,0,0
category:skanderbeg,0,0
category:skaters,0,0
category:skating,0,0
category:skeleton,0,0
category:skeptics,0,0
category:ski,0,0
category:skiers,0,0
category:skiing,0,0
category:skovshoved,0,0
category:sku,0,0
category:skutskärs,0,0
category:skwxwu7mesh,0,0
category:sky,0,0
category:skydivers,0,0
category:skytrain,0,0
category:skövde,0,0
category:slash,0,0
category:slate,0,0
category:slave,0,0
category:slaves,0,0
category:slavic,0,0
category:slavo-serbia,0,0
category:slavophone,0,0
category:sledding,0,0
category:sligo,0,0
category:slobodan,0,0
category:slovak,0,0
category:slovakian,0,0
category:slovaks,0,0
category:slovene,0,0
category:slovene-language,0,0
category:slovene-speaking,0,0
category:slovenian,0,0
category:smaragd,0,0
category:smelters,0,0
category:smith,0,0
category:smithsonian,0,0
category:smu,0,0
category:smyrniote,0,0
category:snake,0,0
category:sneferu,0,0
category:sniper,0,0
category:snipers,0,0
category:snk,0,0
category:snooker,0,0
category:snowboarders,0,0
category:soccer,0,0
category:social,0,0
category:socialist,0,0
category:socialists,0,0
category:socialites,0,0
category:society,0,0
category:sociologist,0,0
category:sociologists,0,0
category:sociétaires,0,0
category:socrates,0,0
category:sodo,0,0
category:soeryadjaya,0,0
category:sofia,0,0
category:softball,0,0
category:software,0,0
category:sogang,0,0
category:sogdiana,0,0
category:sogdians,0,0
category:sogn,0,0
category:soissonaire,0,0
category:sojourner,0,0
category:sokół,0,0
category:solapur,0,0
category:solar,0,0
category:solaris,0,0
category:soldiers,0,0
category:solicitors,0,0
category:solidarity,0,0
category:solna,0,0
category:solomon,0,0
category:somali,0,0
category:somalian,0,0
category:somaliland,0,0
category:sommar,0,0
category:sommeliers,0,0
category:song,0,0
category:songea,0,0
category:songhai,0,0
category:songs,0,0
category:songwriters,0,0
category:soninke,0,0
category:sonoma,0,0
category:sony,0,0
category:sophia,0,0
category:soproni,0,0
category:sorbian,0,0
category:sorbian-language,0,0
category:sorrento,0,0
category:sotho,0,0
category:sotho-tswana,0,0
category:souliotes,0,0
category:sound,0,0
category:sounding,0,0
category:sourcefed,0,0
category:south,0,0
category:southeast,0,0
category:southeastern,0,0
category:southern,0,0
category:southland,0,0
category:southwest,0,0
category:southwestern,0,0
category:soviet,1,0
category:sovremenny-class,0,0
category:spa,0,0
category:space,0,0
category:spacex,0,0
category:spalding,0,0
category:spanish,0,0
category:spanish-language,0,0
category:spanish-speaking,0,0
category:spanish–american,0,0
category:spark,0,0
category:spartacus,0,0
category:spartans,0,0
category:speakers,0,0
category:special,0,0
category:speculative,0,0
category:speculators,0,0
category:spede,0,0
category:speech,0,0
category:speed,0,0
category:speedcubers,0,0
category:speedway,0,0
category:spellers,0,0
category:spencer-churchill,0,0
category:spezia,0,0
category:spies,0,0
category:spike,0,0
category:spiritual,0,0
category:splm/spla,0,0
category:spokane,0,0
category:spokespersons,0,0
category:sport,0,0
category:sporting,0,0
category:sports,0,0
category:sportsmen,0,0
category:sportspeople,0,0
category:sportsperson,0,0
category:sportsperson-politicians,0,0
category:sportspoeple,0,0
category:sportswomen,0,0
category:sportswriters,0,0
category:spouses,0,0
category:spring,0,0
category:springfield,0,0
category:sprint,0,0
category:spårvägens,0,0
category:squamish,0,0
category:square,0,0
category:squash,0,0
category:squatters,0,0
category:sri,0,0
category:srinagar,0,0
category:srinakharinwirot,0,0
category:srinivasa,0,0
category:ss,0,0
category:ssangbangwool,0,0
category:st,0,0
category:stacy,0,0
category:stadium,0,0
category:staff,0,0
category:stage,0,0
category:stahlhelm,0,0
category:stampede,0,0
category:stan,0,0
category:stand-up,0,0
category:standard,0,0
category:standards,0,0
category:stanford,0,0
category:stanisław,0,0
category:stanley,0,0
category:star,0,0
category:starbucks,0,0
category:starost,0,0
category:start-class,0,0
category:stasi,0,0
category:state,0,0
category:stateless,0,0
category:staten,0,0
category:states,0,0
category:stationers,0,0
category:statkraft,0,0
category:statoil,0,0
category:statues,0,0
category:staunton,0,0
category:stb,0,0
category:steagles,0,0
category:steam,0,0
category:steamships,0,0
category:stefan,0,0
category:steklov,0,0
category:stephen,0,0
category:stephens,0,0
category:stereotypes,0,0
category:stern,0,0
category:steve,0,0
category:steven,0,0
category:stewards,0,0
category:stigmatics,0,0
category:stillman,0,0
category:sting,0,0
category:stirling,0,0
category:sto:lo,0,0
category:stock,0,0
category:stockbrokers,0,0
category:stockholm,0,0
category:stockholms,0,0
category:stockholmspolisens,0,0
category:stockviks,0,0
category:stonewall,0,0
category:stony,0,0
category:storebrand,0,0
category:storer,0,0
category:storyboard,0,0
category:storz,0,0
category:stradbally,0,0
category:straits,0,0
category:strategic,0,0
category:strathclyde,0,0
category:streakers,0,0
category:streathamites,1,0
category:street,0,0
category:streets,0,0
category:strength,0,0
category:stroke,0,0
category:strozzi,0,0
category:structures,0,0
category:stu,0,0
category:stuart,1,0
category:stub-class,0,0
category:stubhub,0,0
category:students,0,0
category:studio,0,0
category:styles,0,0
category:su,0,0
category:suazi,0,0
category:sub-provincial,0,0
category:sub-roman,0,0
category:sub-saharan,0,0
category:subanon,0,0
category:subdistricts,0,0
category:subgenii,0,0
category:subgroups,0,0
category:subiya,0,0
category:submarine,0,0
category:submarines,0,0
category:subsaharan,0,0
category:subud,0,0
category:succession,0,0
category:sudan,0,0
category:sudanese,0,0
category:sudeten,0,0
category:sudoku,0,0
category:suebi,0,0
category:suebian,0,0
category:suffolk,0,0
category:sufis,0,0
category:sugar,0,0
category:suggs,0,0
category:suharto,0,0
category:sui,0,0
category:suicide,0,0
category:suicides,0,0
category:sukarno,1,0
category:sukkur,0,0
category:sukuma,0,0
category:suleiman,0,0
category:sullivan,0,0
category:sulmona,0,0
category:sultanate,0,0
category:sultans,0,0
category:suluk,0,0
category:sulzberger,0,0
category:sumerian,0,0
category:sumo,0,0
category:sun,0,0
category:sundanese,0,0
category:sunday,0,0
category:sundays,0,0
category:sundbybergs,0,0
category:sundsvall,0,0
category:sundsvalls,0,0
category:sunoco,0,0
category:sunrise,0,0
category:super,0,0
category:superheroes,0,0
category:superintendents,0,0
category:supreme,0,0
category:surat,0,0
category:surface,0,0
category:surfers,0,0
category:surgeons,0,0
category:surinamese,0,0
category:surkhi,0,0
category:surname,0,0
category:surnames,0,0
category:surveyors,0,0
category:survivalists,0,0
category:survivors,0,0
category:susan,0,0
category:susquehannock,0,0
category:sustainability,0,0
category:susu,0,0
category:suva,0,0
category:suwu,0,0
category:suze,0,0
category:suzhou,0,0
category:suzuki,0,0
category:sv,0,0
category:svan,0,0
category:sverdlov,0,0
category:svr,0,0
category:swabian,0,0
category:swahili,0,0
category:swahili-language,0,0
category:swahili-speaking,0,0
category:swami,0,0
category:swarthmore,0,0
category:swazi,0,0
category:swaziland,0,0
category:swedish,0,0
category:swedish-language,0,0
category:swedish-speaking,0,0
category:swift,0,0
category:swimmers,0,0
category:swiss,0,0
category:swiss-french,0,0
category:swiss-german,0,0
category:swiss-italian,0,0
category:swissh,0,0
category:sword,0,0
category:syd,0,0
category:sydney,0,0
category:sylvan,0,0
category:symantec,0,0
category:syncretists,0,0
category:syndicalists,0,0
category:syracuse,0,0
category:syrian,0,0
category:szidi,0,0
category:székely,0,0
category:são,0,0
category:särna,0,0
category:söderhamns,0,0
category:södertälje,0,0
category:södertörns,0,0
category:sør-trøndelag,0,0
category:süddeutsche,0,0
category:t'ai,0,0
category:table,0,0
category:tacoma,0,0
category:tadeusz,0,0
category:tagalog,0,0
category:tagbanwa,0,0
category:tageblatt,0,0
category:tagish,0,0
category:tagore,0,0
category:taharqa,0,0
category:tahirid,0,0
category:tahitian,0,0
category:tahltan,0,0
category:tai,0,0
category:tainui,0,0
category:taita,0,0
category:taiwanese,0,0
category:tajik,0,0
category:tajikistani,0,0
category:tajikstani,0,0
category:talent,0,0
category:taliaferro,0,0
category:talk,0,0
category:talladega,0,0
category:tallinn,0,0
category:talmud,0,0
category:talysh,0,0
category:tamil,0,0
category:tamil-language,0,0
category:tamil-speaking,0,0
category:tamils,0,0
category:tampa,0,0
category:tang,0,0
category:tanganyika,0,0
category:tanganyikan,0,0
category:tangle,0,0
category:tango,0,0
category:tanguero,0,0
category:tanguts,0,0
category:taniwharau,0,0
category:tanks,0,0
category:tanners,0,0
category:tanzanian,0,0
category:tao,0,0
category:taoists,0,0
category:tapuika,0,0
category:taraf,0,0
category:taranaki,0,0
category:tarantul-class,0,0
category:taras,0,0
category:target,0,0
category:targowica,0,0
category:tariq,0,0
category:tarja,0,0
category:tarnowski,0,0
category:taronites,0,0
category:tartu,0,0
category:tarzan,0,0
category:tashkurgan,0,0
category:tasmanian,0,0
category:tata,0,0
category:tatar,0,0
category:tatsunoko,0,0
category:tauranga,0,0
category:tavistock,0,0
category:tavrida,0,0
category:tax,0,0
category:taxa,0,1
category:taxi,0,0
category:taxidermists,0,0
category:tayport,0,0
category:taíno,0,0
category:tbilisi,0,0
category:tcu,0,0
category:te,0,0
category:tea,0,0
category:teachtaí,0,0
category:team,0,0
category:tebu,0,0
category:technical,0,0
category:technicians,0,0
category:technology,0,0
category:tecumseh,0,0
category:ted,0,0
category:teke,0,0
category:tektronix,0,0
category:tel,0,0
category:tel-hai,0,0
category:telangana,0,0
category:telegraphists,0,0
category:telepaths,0,0
category:television,0,0
category:telos,0,0
category:telstra,0,0
category:telugu,0,0
category:telugu-speaking,0,0
category:telus,0,0
category:temasek,0,0
category:temne,0,0
category:template-class,0,0
category:templates,0,0
category:temple,0,0
category:temporary,0,0
category:ten-pin,0,0
category:tencent,0,0
category:tennessee,0,0
category:tennis,0,0
category:tenochca,0,0
category:tenzing,0,0
category:teochew,0,0
category:teramo,0,0
category:terengganu,0,0
category:terenure,0,0
category:terri,0,0
category:territorial,0,0
category:territory,0,0
category:terrorism,0,0
category:terry,0,0
category:tesco,0,0
category:tesla,0,0
category:test,0,0
category:tetela,0,0
category:teutonic,0,0
category:tewa,0,0
category:texaco,0,0
category:texas,0,0
category:texas–arlington,0,0
category:texas–indian,0,0
category:texas–rio,0,0
category:textile,0,0
category:tfc,0,0
category:thai,0,0
category:thaksin,0,0
category:thakuri,0,0
category:thane,0,0
category:thaw,0,0
category:thayer,0,0
category:the,0,0
category:theater,0,0
category:theatre,0,0
category:theatrical,0,0
category:thelemites,0,0
category:theologian,0,0
category:theologians,0,0
category:theorists,0,0
category:theosophists,0,0
category:theranos,0,0
category:theresa,0,0
category:thermodynamicists,0,0
category:thessalians,0,0
category:third,0,0
category:this,0,0
category:thomas,1,0
category:thomastown,0,0
category:thomond,0,0
category:thor,0,0
category:thracian,0,0
category:thracians,0,0
category:three,0,0
category:three-self,0,0
category:thrissur,0,0
category:thunder,0,0
category:thunderbird,0,0
category:thurgau,0,0
category:thuringii,0,0
category:thurles,0,0
category:thurzó,0,0
category:thutmose,0,0
category:thérèse,0,0
category:tian,0,0
category:tiananmen,0,0
category:tiangong,0,0
category:tianjin,0,0
category:tianzhou,0,0
category:tibbetibaba,0,0
category:tiberius,0,0
category:tibet,0,0
category:tibetan,1,0
category:ticino,0,0
category:tidewater,0,0
category:tiger,0,0
category:tigrayan,0,0
category:till,0,0
category:tillberga,0,0
category:timbisha,0,0
category:time,0,0
category:timelines,0,0
category:timmins,0,0
category:timorese,0,0
category:timothy,0,0
category:timpanogos,0,0
category:timucua,0,0
category:timurid,0,0
category:tinchy,0,0
category:tio,0,0
category:tipperary,0,0
category:tipu,0,0
category:tire,0,0
category:tiriyó,0,0
category:tiruchirapalli,0,0
category:titian,0,0
category:titus,0,0
category:tiwa,0,0
category:tiwi,0,0
category:tiësto,0,0
category:tlingit,0,0
category:toastmasters,0,0
category:tobacco,0,0
category:tobacconists,0,0
category:tobago,0,0
category:tobagoan,0,0
category:tocharians,0,0
category:tofil,0,0
category:togolese,0,0
category:tohono,0,0
category:tohunga,0,0
category:tokelauan,0,0
category:tokugawa,0,0
category:toledo,0,0
category:tollemache,0,0
category:tolowa,0,0
category:toltec,0,0
category:tom,0,0
category:tombs,0,0
category:tommy,0,0
category:tonga,0,0
category:tongan,0,0
category:tonis,0,0
category:tony,0,0
category:toomevara,0,0
category:top,0,0
category:top-importance,0,0
category:topeka,0,0
category:topklasse,0,0
category:torah,0,0
category:torino,0,0
category:tornedalians,0,0
category:toronto,0,0
category:toronto-dominion,0,0
category:torres,0,0
category:torstar,0,0
category:torture,0,0
category:torturers,0,0
category:toshiyori,0,0
category:totonac,0,0
category:tour,0,0
category:tournament,0,0
category:touro,0,0
category:town,0,0
category:townshend,0,0
category:toyoda,0,0
category:toyohashi,0,0
category:toyota,0,0
category:traceurs,0,0
category:tracey,0,0
category:track,0,0
category:trade,0,0
category:trading,0,0
category:traditional,0,0
category:traffic,0,0
category:training,0,0
category:trajan,0,0
category:trakya,0,0
category:tranmere,0,0
category:trans,0,0
category:transcendental,0,0
category:transgender,0,0
category:transhumanists,0,0
category:transition,0,0
category:transjordan,0,0
category:transkeian,0,0
category:translators,0,0
category:transnistrian,0,0
category:transphobic,0,0
category:transport,0,0
category:transvaal,0,0
category:transylvania,0,0
category:transylvanian,0,0
category:traoré,0,0
category:travancore,0,0
category:travancore-cochin,0,0
category:travelers,0,0
category:trc,0,0
category:treasure,0,0
category:treasury,0,0
category:treaties,0,0
category:treaty,0,0
category:trecento,0,0
category:trelawny,0,0
category:trelleborgs,0,0
category:trent,0,0
category:trial,0,0
category:trials,0,0
category:triarchs,0,0
category:triathletes,0,0
category:triathlon,0,0
category:tribal,0,0
category:tribes,0,0
category:tribune,0,0
category:trinbago,0,0
category:trine,0,0
category:tring,0,0
category:trinidad,0,0
category:trinitarian,0,0
category:trinity,0,0
category:trios,0,0
category:tripura,0,0
category:tripuri,0,0
category:trique,0,0
category:trobairitz,0,0
category:trois-rivières,0,0
category:trojans,0,0
category:trollhättans,0,0
category:troms,0,0
category:trondheim,0,0
category:trotskyists,0,0
category:troubadours,0,0
category:troupe,0,0
category:troy,0,0
category:troyville,0,0
category:trpimirović,0,0
category:trt,0,0
category:truck,0,0
category:truman,0,0
category:trust,0,0
category:trustees,0,0
category:tsai,0,0
category:tsardom,0,0
category:tshwane,0,0
category:tsilhqot'in,0,0
category:tsimihety,0,0
category:tsimshian,0,0
category:tsonga,0,0
category:tstv,0,0
category:tsuu,0,0
category:tswana,0,0
category:ttü,0,0
category:tuam,0,0
category:tuanpai,0,0
category:tuareg,0,0
category:tuck,0,0
category:tucker,0,0
category:tucson,0,0
category:tufts,0,0
category:tug,0,0
category:tugboats,0,0
category:tuhourangi,0,0
category:tui,0,0
category:tujia,0,0
category:tuke,0,0
category:tulane,1,0
category:tullamore,0,0
category:tulsa,0,0
category:tulu,0,0
category:tulunid,0,0
category:tumbuka,0,0
category:tungus,0,0
category:tungusic,0,0
category:tunis,0,0
category:tunisian,0,0
category:tupiniquim,0,0
category:tupí,0,0
category:tuqan,0,0
category:turkana,0,0
category:turkic,0,0
category:turkish,0,0
category:turkish-language,0,0
category:turkish-speaking,0,0
category:turkmen,0,0
category:turkmenistan,0,0
category:turkmenistani,0,0
category:turks,0,0
category:tuscan,0,0
category:tuscarora,0,0
category:tuscola,0,0
category:tutankhamun,0,0
category:tutchone,0,0
category:tutsi,0,0
category:tuvaluan,0,0
category:tuvan,0,0
category:tuyuhun,0,0
category:tv,0,0
category:tv3,0,0
category:tv5,0,0
category:tvi,0,0
category:tvnorge,0,0
category:tvontario,0,0
category:tweed,0,0
category:twelve,0,0
category:twelver,0,0
category:twentieth,0,0
category:twenty-six,0,0
category:twin,0,0
category:twiston-davies,0,0
category:twitch,0,0
category:twitter,0,0
category:two-spirit,0,0
category:ty,0,0
category:tycho,0,0
category:type,0,0
category:tyrone,0,0
category:tz'utujil,0,0
category:tày,0,0
category:täby,0,0
category:uab,0,0
category:ubisoft,0,0
category:ubs,0,0
category:ubuntu,0,0
category:ubykh,0,0
category:uc,0,0
category:ucc,0,0
category:ucd,0,0
category:ucf,0,0
category:ucla,0,0
category:udi,0,0
category:udmurt,0,0
category:udupi,0,0
category:ueekata,0,0
category:uefa,0,0
category:ufo,0,0
category:ufologists,0,0
category:uganda,0,0
category:ugandan,0,0
category:ugarit,0,0
category:ugly,0,0
category:ugric,0,0
category:uk,0,0
category:ukarinian,0,0
category:ukiyo-e,0,0
category:ukrainian,0,0
category:ukrayina,0,0
category:ukrnafta,0,0
category:ul,0,0
category:ulfa,0,0
category:ulhasnagar,0,0
category:ulstein,0,0
category:ulster,0,0
category:ultimate,0,0
category:um,0,0
category:umass,0,0
category:umayyad,0,0
category:umayyad-period,0,0
category:umbc,0,0
category:umberto,0,0
category:umbrian,0,0
category:umeå,0,0
category:umkc,0,0
category:umkhonto,0,0
category:unani,0,0
category:unassessed,0,0
category:unb,0,0
category:unc,0,0
category:uncontacted,0,0
category:under-19,0,0
category:under-23,0,0
category:undercover,0,0
category:underground,0,0
category:underwater,0,0
category:undiladze,0,0
category:unesco,0,0
category:unicef,0,0
category:unidentified,0,0
category:unificationists,0,0
category:unilever,0,0
category:union,0,0
category:unitarians,0,0
category:unitec,0,0
category:united,0,0
category:uniting,0,0
category:unitrak,0,0
category:units,0,0
category:universal,0,0
category:universalists,0,0
category:universidad,0,0
category:universidade,0,0
category:university,0,0
category:université,0,0
category:univision,0,0
category:unix,0,0
category:unknown-importance,0,0
category:unlv,0,0
category:unmanned,0,0
category:unpersons,0,0
category:unsolved,0,0
category:unsuccessful,0,0
category:untied,0,0
category:up-country,0,0
category:upei,0,0
category:upper,0,0
category:uppsala,0,0
category:upright,0,0
category:upsala,0,0
category:uralic,0,0
category:uralsky,0,0
category:urartian,0,0
category:urartu,0,0
category:urban,0,0
category:urdu,0,0
category:urdu-language,0,0
category:urdu-speaking,0,0
category:urho,0,0
category:urhobo,0,0
category:uruguayan,0,0
category:usa,0,0
category:usc,0,0
category:usenet,0,0
category:usmanu,0,0
category:ustajlu,0,0
category:ut,0,0
category:utah,0,0
category:utbi,0,0
category:ute,0,0
category:utep,0,0
category:utopists,0,0
category:utrecht,0,0
category:utsa,0,0
category:utsul,0,0
category:uttar,0,0
category:uttarakhand,0,0
category:uu,0,0
category:uyghur,0,0
category:uyghurs,0,0
category:uzbek,0,0
category:uzbekistani,0,0
category:uzhhorod,0,0
category:v-weapons,0,0
category:vadodara,0,0
category:val,0,0
category:valdosta,0,0
category:valencian,0,0
category:valentina,0,0
category:valley,0,0
category:valparaiso,0,0
category:valve,0,0
category:van,0,0
category:vancouver,0,0
category:vandal,0,0
category:vandalic,0,0
category:vandals,0,0
category:vandebilt,0,0
category:vanderbilt,0,0
category:vanity,0,0
category:vanraure,0,0
category:vanuatuan,0,0
category:varangians,0,0
category:variety,0,0
category:vassal,0,0
category:vassar,0,0
category:vatan,0,0
category:vatican,0,0
category:vaughn,0,0
category:vcu,0,0
category:vedda,0,0
category:venda,0,0
category:venetian,0,0
category:venetist,0,0
category:venezuela,0,0
category:venezuelan,0,0
category:venus,0,0
category:vepsia,0,0
category:vepsian,0,0
category:vera,0,0
category:verbotene,0,0
category:verdens,0,0
category:verizon,0,0
category:vermont,0,0
category:veronese,0,0
category:vespasian,0,0
category:vest-agder,0,0
category:vestey,0,0
category:vestfold,0,0
category:veterans,0,0
category:veterinarians,0,0
category:veterinary,0,0
category:vetlanda,0,0
category:vexillologists,0,0
category:via,0,0
category:viacom,0,0
category:vicars-general,0,0
category:vice,0,0
category:vice-chancellors,0,0
category:vice-governors,0,0
category:vice-ministers,0,0
category:vice-presidents,0,0
category:vicente,0,0
category:vicenza,0,0
category:vicenzan,0,0
category:viceroyalty,0,0
category:viceroys,0,0
category:victims,1,0
category:victor,0,0
category:victoria,0,0
category:victorian,0,0
category:video,0,0
category:videographers,0,0
category:vidkun,0,0
category:vidya,0,0
category:vienna,0,0
category:viennese,0,0
category:vietnam,0,0
category:vietnamese,0,0
category:vietnamese-language,0,0
category:vietnamese-speaking,0,0
category:vik,0,0
category:viking,0,0
category:vikings,0,0
category:vikram,0,0
category:viktor,0,0
category:viljandi,0,0
category:villa,0,0
category:village,0,0
category:villages,0,0
category:villanova,0,0
category:vilnius,0,0
category:vincent,0,0
category:vincentian,0,0
category:violence,0,0
category:virginia,0,0
category:virginia–wise,0,0
category:virtus,0,0
category:visayan,0,0
category:viscounts,0,0
category:visigoths,0,0
category:visual,0,0
category:visually,0,0
category:visva-bharati,0,0
category:viticulturists,0,0
category:vitória,0,0
category:viva,0,0
category:vivian,0,0
category:viziers,0,0
category:vlachs,0,0
category:vlad,0,0
category:vladimir,0,0
category:vmi,0,0
category:vo,0,0
category:vocal,0,0
category:vodafone,0,0
category:vodnik,0,0
category:vodou,0,0
category:vogue,0,0
category:voice,0,0
category:voivodes,0,0
category:volga,0,0
category:volhynian,0,0
category:volksmarine,0,0
category:volkswagen,0,0
category:volleyball,0,0
category:volsci,0,0
category:volunteers,0,0
category:volvo,0,0
category:von,0,0
category:voortrekker,0,0
category:votes,0,0
category:vox,0,0
category:vunivalu,0,0
category:václav,0,0
category:väsby,0,0
category:västerås,0,0
category:wa,0,0
category:wabanaki,0,0
category:wadiyar,0,0
category:wagner,0,0
category:waikato,0,0
category:waitaha,0,0
category:waitakere,0,0
category:wakandans,0,0
category:wakashan,0,0
category:wake,0,0
category:wakeboarders,0,0
category:walchand,0,0
category:waldegrave,0,0
category:wales,0,0
category:walker,0,0
category:wallace,0,0
category:wallachian,0,0
category:wallis,0,0
category:walloon,0,0
category:walmart,0,0
category:walt,0,0
category:walter,1,0
category:walton,0,0
category:wampanoag,0,0
category:wanderers,0,0
category:wappinger,0,0
category:war,0,0
category:waray-language,0,0
category:warberg,0,0
category:warburg,0,0
category:warcraft,0,0
category:wardens,0,0
category:warhola,0,0
category:warlords,0,0
category:warner,0,0
category:warren,0,0
category:warriors,0,0
category:wars,0,0
category:warsaw,0,0
category:wartime,0,0
category:washburn,0,0
category:washington,0,0
category:washoe,0,0
category:wassily,0,0
category:watchmakers,0,0
category:water,0,0
category:waterford,0,0
category:watergate,0,0
category:waukesha,0,0
category:wayana,0,0
category:wayans,0,0
category:wayland,0,0
category:waymo,0,0
category:wayne,0,0
category:wayuu,0,0
category:wea,0,0
category:weapons,0,0
category:weber,0,0
category:websites,0,0
category:wedway,0,0
category:weeden,0,0
category:weekendavisen,0,0
category:wei,0,0
category:weightlifters,0,0
category:weightlifting,0,0
category:weimar,0,0
category:wellesley,0,0
category:wellington,0,0
category:wells,0,0
category:welsh,0,0
category:welsh-american,0,0
category:welsh-born,0,0
category:welsh-language,0,0
category:welsh-speaking,0,0
category:wenckheim,0,0
category:wenshan,0,0
category:wentworth,0,0
category:wergaia,0,0
category:werner,0,0
category:wernher,0,0
category:wesfarmers,0,0
